"receivedTime","magnitude"
"2016-04-09 14:25:58",651
"2016-04-09 14:25:58",653
"2016-04-09 14:25:58",671
"2016-04-09 14:25:58",674
"2016-04-09 14:25:58",677
"2016-04-09 14:25:58",688
"2016-04-09 14:25:58",697
"2016-04-09 14:25:58",699
"2016-04-09 14:25:58",703
"2016-04-09 14:25:58",702
"2016-04-09 14:25:58",694
"2016-04-09 14:25:58",685
"2016-04-09 14:25:58",671
"2016-04-09 14:25:58",659
"2016-04-09 14:25:58",650
"2016-04-09 14:25:58",635
"2016-04-09 14:25:58",615
"2016-04-09 14:25:58",606
"2016-04-09 14:25:58",607
"2016-04-09 14:25:58",609
"2016-04-09 14:25:58",608
"2016-04-09 14:25:58",615
"2016-04-09 14:25:58",630
"2016-04-09 14:25:58",641
"2016-04-09 14:25:58",647
"2016-04-09 14:25:58",656
"2016-04-09 14:25:58",663
"2016-04-09 14:25:58",671
"2016-04-09 14:25:58",675
"2016-04-09 14:25:58",672
"2016-04-09 14:25:58",671
"2016-04-09 14:25:58",677
"2016-04-09 14:25:58",677
"2016-04-09 14:25:58",676
"2016-04-09 14:25:58",675
"2016-04-09 14:25:58",672
"2016-04-09 14:25:58",670
"2016-04-09 14:25:58",664
"2016-04-09 14:25:58",651
"2016-04-09 14:25:58",643
"2016-04-09 14:25:58",637
"2016-04-09 14:25:58",624
"2016-04-09 14:25:58",618
"2016-04-09 14:25:58",613
"2016-04-09 14:25:58",610
"2016-04-09 14:25:58",611
"2016-04-09 14:25:58",615
"2016-04-09 14:25:58",621
"2016-04-09 14:25:58",630
"2016-04-09 14:25:58",643
"2016-04-09 14:25:58",651
"2016-04-09 14:25:58",656
"2016-04-09 14:25:58",610
"2016-04-09 14:25:58",617
"2016-04-09 14:25:58",622
"2016-04-09 14:25:58",621
"2016-04-09 14:25:58",622
"2016-04-09 14:25:58",625
"2016-04-09 14:25:58",634
"2016-04-09 14:25:58",646
"2016-04-09 14:25:58",652
"2016-04-09 14:25:58",653
"2016-04-09 14:25:58",654
"2016-04-09 14:25:58",656
"2016-04-09 14:25:58",661
"2016-04-09 14:25:58",667
"2016-04-09 14:25:58",663
"2016-04-09 14:25:58",659
"2016-04-09 14:25:58",658
"2016-04-09 14:25:58",660
"2016-04-09 14:25:58",666
"2016-04-09 14:25:58",661
"2016-04-09 14:25:58",654
"2016-04-09 14:25:58",654
"2016-04-09 14:25:58",651
"2016-04-09 14:25:58",649
"2016-04-09 14:25:58",657
"2016-04-09 14:25:58",657
"2016-04-09 14:25:58",653
"2016-04-09 14:25:58",656
"2016-04-09 14:25:59",659
"2016-04-09 14:25:59",664
"2016-04-09 14:25:59",670
"2016-04-09 14:25:59",670
"2016-04-09 14:25:59",672
"2016-04-09 14:25:59",673
"2016-04-09 14:25:59",670
"2016-04-09 14:25:59",671
"2016-04-09 14:25:59",669
"2016-04-09 14:25:59",664
"2016-04-09 14:25:59",658
"2016-04-09 14:25:59",642
"2016-04-09 14:25:59",626
"2016-04-09 14:25:59",628
"2016-04-09 14:25:59",635
"2016-04-09 14:25:59",638
"2016-04-09 14:25:59",639
"2016-04-09 14:25:59",641
"2016-04-09 14:25:59",647
"2016-04-09 14:25:59",654
"2016-04-09 14:25:59",656
"2016-04-09 14:25:59",660
"2016-04-09 14:25:59",667
"2016-04-09 14:25:59",681
"2016-04-09 14:25:59",699
"2016-04-09 14:25:59",713
"2016-04-09 14:25:59",720
"2016-04-09 14:25:59",715
"2016-04-09 14:25:59",713
"2016-04-09 14:25:59",715
"2016-04-09 14:25:59",706
"2016-04-09 14:25:59",696
"2016-04-09 14:25:59",698
"2016-04-09 14:25:59",698
"2016-04-09 14:25:59",685
"2016-04-09 14:25:59",668
"2016-04-09 14:25:59",656
"2016-04-09 14:25:59",650
"2016-04-09 14:25:59",651
"2016-04-09 14:25:59",642
"2016-04-09 14:25:59",630
"2016-04-09 14:25:59",633
"2016-04-09 14:25:59",631
"2016-04-09 14:25:59",624
"2016-04-09 14:25:59",633
"2016-04-09 14:25:59",646
"2016-04-09 14:25:59",653
"2016-04-09 14:25:59",654
"2016-04-09 14:25:59",647
"2016-04-09 14:25:59",652
"2016-04-09 14:25:59",666
"2016-04-09 14:25:59",666
"2016-04-09 14:25:59",657
"2016-04-09 14:25:59",659
"2016-04-09 14:25:59",664
"2016-04-09 14:25:59",662
"2016-04-09 14:25:59",656
"2016-04-09 14:25:59",652
"2016-04-09 14:25:59",652
"2016-04-09 14:25:59",648
"2016-04-09 14:25:59",636
"2016-04-09 14:25:59",634
"2016-04-09 14:25:59",640
"2016-04-09 14:25:59",642
"2016-04-09 14:25:59",639
"2016-04-09 14:25:59",638
"2016-04-09 14:25:59",639
"2016-04-09 14:25:59",643
"2016-04-09 14:25:59",646
"2016-04-09 14:25:59",641
"2016-04-09 14:25:59",634
"2016-04-09 14:25:59",676
"2016-04-09 14:25:59",666
"2016-04-09 14:25:59",663
"2016-04-09 14:25:59",666
"2016-04-09 14:25:59",666
"2016-04-09 14:25:59",653
"2016-04-09 14:25:59",641
"2016-04-09 14:25:59",640
"2016-04-09 14:25:59",640
"2016-04-09 14:25:59",639
"2016-04-09 14:25:59",641
"2016-04-09 14:25:59",638
"2016-04-09 14:25:59",636
"2016-04-09 14:25:59",638
"2016-04-09 14:25:59",635
"2016-04-09 14:25:59",636
"2016-04-09 14:25:59",641
"2016-04-09 14:25:59",635
"2016-04-09 14:25:59",625
"2016-04-09 14:25:59",627
"2016-04-09 14:25:59",632
"2016-04-09 14:25:59",636
"2016-04-09 14:25:59",641
