,id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,accelerationAvg,accelerationDev,classifier
259,13884,32.45,0.75,0,3558,2016-04-09 15:48:03,649.5714285714,22.5316104482,2
260,13885,32.47,0.72,0,3543,2016-04-09 15:48:03,656.7142857143,23.692761316,2
261,13886,32.47,0.73,0,3543,2016-04-09 15:48:03,643.9285714286,22.0631052267,2
262,13887,32.45,0.72,0,3543,2016-04-09 15:48:03,650.8333333333,18.6048082196,2
263,13888,32.45,0.72,0,3543,2016-04-09 15:48:04,650.0625,16.5566027237,2
264,13889,32.47,0.76,0,3543,2016-04-09 15:48:04,648.1875,15.2016395086,2
265,13890,32.49,0.74,0,3543,2016-04-09 15:48:04,657.1875,24.09543201,2
266,13891,32.45,0.73,0,3498,2016-04-09 15:48:04,650.65625,13.6212365789,2
267,13892,32.47,0.71,0,3498,2016-04-09 15:48:05,648.7878787879,25.1730466436,2
268,13893,32.45,0.71,0,3495,2016-04-09 15:48:05,645.4242424242,26.5455929151,2
269,13894,32.45,0.78,0,3495,2016-04-09 15:48:05,658.9090909091,33.7660073252,2
270,13895,32.47,0.72,0,3495,2016-04-09 15:48:05,640.6666666667,36.4481089559,2
271,13896,32.47,0.74,0,3495,2016-04-09 15:48:06,657,29.7548315404,2
272,13897,32.45,0.7,0,3432,2016-04-09 15:48:06,651.835443038,30.2150228289,2
273,13898,32.47,0.72,0,3468,2016-04-09 15:48:07,653.6024844721,30.5986399046,2
274,13899,32.47,0.71,0,3468,2016-04-09 15:48:09,660.3333333333,22.0731108415,2
275,13900,32.55,0.7,0,3468,2016-04-09 15:48:09,655.0277777778,25.9384807564,2
276,13901,32.55,0.74,0,3537,2016-04-09 15:48:09,662.2777777778,37.2935883014,2
277,13902,32.5,0.71,0,3537,2016-04-09 15:48:09,641.5555555556,22.7991769399,2
278,13903,32.55,0.76,0,3546,2016-04-09 15:48:11,654.7173913043,22.7774326181,2
279,13904,32.55,0.68,0,3546,2016-04-09 15:48:11,647.8695652174,19.3037602731,2
280,13905,32.55,0.67,0,3576,2016-04-09 15:48:11,651.4,11.6645712404,2
281,13906,32.59,0.02,0,3531,2016-04-09 15:48:13,646.954954955,13.4300908528,2
282,13907,32.59,0.02,0,3273,2016-04-09 15:48:14,645.612244898,16.6706589693,2
283,13908,32.59,0.02,0,2745,2016-04-09 15:48:14,650.8979591837,12.6495057546,2
284,13909,32.59,0.02,0,2745,2016-04-09 15:48:14,651.1875,12.2655619691,2
