"receivedTime";"magnitude1";"magnitude2"
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";531;620
"2016-04-12 13:18:05";530;620
"2016-04-12 13:18:05";530;620
"2016-04-12 13:18:05";530;620
"2016-04-12 13:18:05";530;620
"2016-04-12 13:18:05";530;620
"2016-04-12 13:18:05";530;621
"2016-04-12 13:18:05";530;621
"2016-04-12 13:18:05";530;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:05";529;621
"2016-04-12 13:18:06";529;621
"2016-04-12 13:18:06";529;621
"2016-04-12 13:18:06";529;621
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";529;622
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";530;623
"2016-04-12 13:18:06";531;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";532;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;621
"2016-04-12 13:18:06";533;620
"2016-04-12 13:18:06";533;620
"2016-04-12 13:18:06";533;620
"2016-04-12 13:18:06";533;620
"2016-04-12 13:18:06";533;620
"2016-04-12 13:18:06";533;620
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;618
"2016-04-12 13:18:06";532;619
"2016-04-12 13:18:06";533;619
"2016-04-12 13:18:06";533;619
