,vibration
2561,647
2562,638
2563,630
2564,628
2565,633
2566,634
2567,629
2568,653
2569,649
2570,645
2571,638
2572,635
2573,637
2574,642
2575,648
2576,657
2577,670
2578,679
2579,684
2580,684
2581,684
2582,687
2583,688
2584,682
2585,678
2586,683
2587,687
2588,679
2589,669
2590,671
2591,674
2592,671
2593,667
2594,670
2595,673
2596,672
2597,668
2598,669
2599,671
2600,670
2601,664
2602,660
2603,662
2604,666
2605,667
2606,670
2607,676
2608,679
2609,683
2610,689
2611,691
2612,687
2613,687
2614,694
2615,690
2616,682
2617,683
2618,666
2619,668
2620,664
2621,654
2622,648
2623,646
2624,642
2625,640
2626,643
2627,646
2628,653
2629,665
2630,673
2631,677
2632,682
2633,684
2634,679
2635,677
2636,679
2637,681
2638,685
2639,685
2640,681
2641,678
2642,681
2643,682
2644,682
2645,686
2646,686
2647,676
2648,668
2649,668
2650,669
2651,668
2652,671
2653,680
2654,682
2655,677
2656,675
2657,675
2658,674
2659,674
2660,676
2661,680
2662,686
2663,689
2664,685
2665,686
2666,693
2667,695
2668,672
2669,671
2670,669
2671,673
2672,674
2673,669
2674,663
2675,658
2676,650
2677,639
2678,628
2679,624
2680,627
2681,633
2682,635
2683,641
2684,652
2685,657
2686,654
2687,657
2688,674
2689,691
2690,697
2691,696
2692,697
2693,699
2694,699
2695,698
2696,700
2697,702
2698,695
2699,681
2700,669
2701,666
2702,666
2703,672
2704,683
2705,687
2706,683
2707,681
2708,684
2709,681
2710,680
2711,686
2712,689
2713,684
2714,679
2715,677
2716,678
2717,684
2718,679
2719,670
2720,663
2721,663
2722,664
2723,660
2724,662
2725,673
2726,681
2727,680
2728,681
2729,683
2730,678
2731,671
2732,668
2733,666
2734,662
2735,657
2736,657
2737,663
2738,670
2739,674
2740,675
2741,678
2742,684
2743,685
2744,681
2745,681
2746,687
2747,687
2748,677
2749,669
2750,666
2751,666
2752,667
2753,666
2754,666
2755,671
2756,676
2757,680
2758,685
2759,693
2760,700
2761,696
2762,683
2763,673
2764,669
2765,663
2766,655
2767,650
2768,657
2769,646
2770,637
2771,635
2772,637
2773,637
2774,639
2775,651
2776,665
2777,669
2778,664
2779,666
2780,681
2781,694
2782,696
2783,695
2784,699
2785,697
2786,688
2787,679
2788,678
2789,679
2790,679
2791,672
2792,666
2793,669
2794,675
2795,679
2796,682
2797,687
2798,689
2799,688
2800,684
2801,678
2802,676
2803,679
2804,679
2805,675
2806,678
2807,684
2808,683
2809,680
2810,684
2811,688
2812,686
2813,685
2814,684
2815,685
2816,688
2817,690
2818,651
2819,644
2820,639
2821,640
2822,647
2823,651
2824,646
2825,643
2826,650
2827,663
2828,672
2829,678
2830,689
2831,694
2832,689
2833,682
2834,682
2835,688
2836,693
2837,695
2838,692
2839,690
2840,690
2841,688
2842,683
2843,681
2844,681
