,vibration
2206,656
2207,649
2208,648
2209,670
2210,684
2211,692
2212,690
2213,680
2214,676
2215,685
2216,697
2217,697
2218,682
2219,668
2220,668
2221,673
2222,674
2223,664
2224,648
2225,648
2226,664
2227,675
2228,672
2229,663
2230,665
2231,678
2232,687
2233,681
2234,666
2235,653
2236,656
2237,667
2238,668
2239,664
2240,663
2241,668
2242,680
2243,692
2244,695
2245,688
2246,681
2247,684
2248,696
2249,703
2250,698
2251,684
2252,675
2253,679
2254,689
2255,691
2256,684
2257,679
2258,683
2259,709
2260,707
2261,701
2262,690
2263,683
2264,680
2265,679
2266,677
2267,667
2268,658
2269,661
2270,672
2271,680
2272,674
2273,664
2274,665
2275,675
2276,681
2277,673
2278,656
2279,653
2280,674
2281,696
2282,700
2283,691
2284,690
2285,706
2286,724
2287,721
2288,700
2289,686
2290,686
2291,692
2292,690
2293,674
2294,661
2295,666
2296,679
2297,683
2298,678
2299,671
2300,671
2301,683
2302,692
2303,683
2304,667
2305,660
2306,660
2307,651
2308,632
2309,663
2310,663
2311,672
2312,679
2313,672
2314,656
2315,645
2316,651
2317,661
2318,655
2319,638
2320,634
2321,647
2322,663
2323,670
2324,670
2325,671
2326,680
2327,693
2328,697
2329,690
2330,681
2331,674
2332,676
2333,680
2334,672
2335,656
2336,651
2337,662
2338,670
2339,669
2340,673
2341,682
2342,691
2343,700
2344,705
2345,699
2346,685
2347,677
2348,675
2349,671
2350,663
2351,652
2352,639
2353,638
2354,645
2355,651
2356,657
2357,662
2358,666
2359,677
2360,688
2361,697
2362,694
2363,685
2364,685
2365,699
2366,713
2367,713
2368,701
2369,690
2370,688
2371,688
2372,681
2373,662
2374,644
2375,639
2376,642
2377,644
2378,644
2379,639
2380,635
2381,641
2382,647
2383,644
2384,641
2385,642
2386,646
2387,655
2388,663
2389,661
2390,652
2391,654
2392,669
2393,684
2394,695
2395,700
2396,700
2397,706
2398,720
2399,727
2400,717
2401,699
2402,689
2403,687
2404,685
2405,673
2406,657
2407,650
2408,656
2409,690
2410,693
2411,700
2412,699
2413,687
2414,678
2415,679
2416,683
2417,688
2418,692
2419,694
2420,696
2421,696
2422,691
2423,682
2424,674
2425,666
2426,660
2427,660
2428,662
2429,662
2430,660
2431,652
2432,649
2433,656
2434,661
2435,653
2436,637
2437,633
2438,641
2439,647
2440,642
2441,631
2442,624
2443,633
2444,654
2445,663
2446,661
2447,665
2448,684
2449,705
2450,719
2451,723
2452,715
2453,709
2454,714
2455,712
2456,694
2457,673
2458,665
2459,686
2460,697
2461,691
2462,679
2463,675
2464,685
2465,699
2466,697
2467,687
2468,685
2469,694
2470,704
2471,704
2472,691
2473,674
2474,664
2475,667
2476,668
2477,658
2478,647
2479,645
2480,645
2481,645
2482,652
2483,656
2484,655
2485,661
2486,675
2487,686
2488,690
2489,693
2490,699
2491,703
2492,711
2493,715
2494,704
2495,689
2496,682
2497,678
2498,672
2499,661
2500,648
2501,645
2502,651
2503,659
2504,663
2505,657
2506,649
2507,653
2508,662
2509,622
2510,640
2511,659
2512,669
2513,677
2514,689
2515,704
2516,720
2517,735
2518,738
2519,734
2520,725
2521,716
2522,704
2523,689
2524,678
2525,676
2526,679
2527,683
2528,689
2529,694
2530,698
2531,700
2532,699
2533,695
2534,684
2535,669
2536,655
2537,651
2538,658
2539,661
2540,656
2541,652
2542,663
2543,687
2544,703
2545,701
2546,692
2547,694
2548,706
2549,710
2550,697
2551,680
2552,670
2553,673
2554,684
2555,684
2556,675
2557,680
2558,702
2559,678
2560,685
2561,693
2562,695
2563,690
2564,689
2565,695
2566,700
2567,702
2568,698
2569,689
2570,680
2571,677
2572,676
2573,670
2574,657
2575,647
2576,647
2577,653
2578,661
2579,664
2580,661
2581,667
2582,683
2583,691
2584,683
2585,677
2586,684
2587,689
2588,683
2589,675
2590,673
2591,674
2592,681
2593,690
2594,693
2595,691
2596,695
2597,700
2598,698
2599,694
2600,690
2601,690
2602,694
2603,697
2604,696
2605,690
2606,683
2607,684
2608,687
2609,661
2610,670
2611,675
2612,669
2613,665
2614,676
2615,692
2616,693
2617,685
2618,684
2619,691
2620,696
2621,691
2622,686
2623,683
2624,682
2625,681
2626,678
2627,671
2628,664
2629,669
2630,679
2631,679
2632,669
2633,668
2634,677
2635,681
2636,672
2637,656
2638,644
2639,646
2640,647
2641,634
2642,617
2643,607
2644,609
2645,620
2646,627
2647,623
2648,618
2649,625
2650,646
2651,665
2652,671
2653,673
2654,682
2655,699
2656,714
2657,715
2658,707
2659,697
2660,685
2661,681
2662,688
2663,695
2664,691
2665,677
2666,663
2667,666
2668,680
2669,685
2670,676
2671,662
2672,652
2673,651
2674,650
2675,639
2676,619
2677,611
2678,629
2679,656
2680,669
2681,676
2682,691
2683,716
2684,738
2685,738
2686,738
2687,731
2688,722
2689,723
2690,716
2691,699
2692,680
2693,660
2694,644
2695,644
2696,650
2697,649
2698,648
2699,652
2700,661
2701,673
2702,678
2703,672
2704,668
2705,669
2706,670
2707,673
2708,672
2709,652
2710,651
2711,664
2712,672
2713,674
2714,686
2715,699
2716,703
2717,707
2718,715
2719,717
2720,711
2721,705
2722,699
2723,691
2724,684
2725,677
2726,673
2727,673
2728,675
2729,674
2730,672
2731,671
2732,674
